,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
215,24.0,31.0,28.0,3.0,51921.0,30747.162813101706,16841.069128363313,24.0,31.0,28.0,0,0,0
216,4.0,43.0,21.0,3.0,42259.0,21085.162813101706,15591.275116532683,4.0,43.0,21.0,0,0,0
217,39.0,22.0,7.0,3.0,48315.0,27141.162813101706,15256.948443267645,39.0,22.0,7.0,0,0,0
218,11.0,10.0,21.0,3.0,52212.0,31038.162813101706,14704.532515548552,11.0,10.0,21.0,0,0,0
219,57.0,10.0,6.0,3.0,43496.0,22322.162813101706,14694.808051681626,57.0,10.0,6.0,0,0,0
220,51.0,47.0,9.0,3.0,42717.0,21543.162813101706,14608.669292023957,51.0,47.0,9.0,0,0,0
221,12.0,23.0,33.0,3.0,45429.0,24255.162813101706,14558.83278573998,12.0,23.0,33.0,0,0,0
222,59.0,42.0,6.0,3.0,44248.0,23074.162813101706,14066.44816969663,59.0,42.0,6.0,0,0,0
223,12.0,14.0,46.0,3.0,40598.0,19424.162813101706,13936.624224169907,12.0,14.0,46.0,0,0,0
224,24.0,17.0,35.0,3.0,41745.0,20571.162813101706,13800.38799033405,24.0,17.0,35.0,0,0,0
225,18.0,5.0,8.0,3.0,44020.0,22846.162813101706,13342.710081389203,18.0,5.0,8.0,0,0,0
226,19.0,41.0,3.0,3.0,37180.0,16006.162813101706,13058.712484121203,19.0,41.0,3.0,0,0,0
227,19.0,55.0,27.0,3.0,40135.0,18961.162813101706,13011.33178749163,19.0,55.0,27.0,0,0,0
228,20.0,19.0,44.0,3.0,39688.0,18514.162813101706,12489.141994738777,20.0,19.0,44.0,0,0,0
229,16.0,46.0,59.0,3.0,42784.0,21610.162813101706,12481.627291434716,16.0,46.0,59.0,0,0,0
230,21.0,54.0,33.0,3.0,38171.0,16997.162813101706,12449.129147462487,21.0,54.0,33.0,0,0,0
231,6.0,40.0,47.0,3.0,39420.0,18246.162813101706,12179.489682093554,6.0,40.0,47.0,0,0,0
232,16.0,40.0,21.0,3.0,41392.0,20218.162813101706,11928.303180011044,16.0,40.0,21.0,0,0,0
